id,titre,categorie,output_kind,source
analyse-des-risques-cybersecurite-et-menaces,Analyse des risques cybersécurité & menaces,GESTION DES RISQUES,analysis,heuristique
analyse-des-risques-de-conformite-et-reglementaires,Analyse des risques de conformité & réglementaires,GESTION DES RISQUES,assessment,heuristique
analyse-des-risques-de-reputation-et-e-reputation,Analyse des risques de réputation & e-réputation,GESTION DES RISQUES,analysis,heuristique
analyse-des-risques-de-transformation-organisationnelle,Analyse des risques de transformation organisationnelle,GESTION DES RISQUES,analysis,heuristique
analyse-des-risques-lies-a-la-ia-et-technologies-emergentes,Analyse des risques liés à l'IA & technologies émergentes,GESTION DES RISQUES,analysis,heuristique
analyse-des-tendances-et-detection-de-signaux-faibles,Analyse des tendances & détection de signaux faibles,INNOVATION & R&D,analysis,heuristique
analyse-dispositifs-formation,Analyse de l'efficacité des dispositifs de formation,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
analyse-disruptions-reponse-strategique,Analyse des disruptions & réponse stratégique,INNOVATION & R&D,analysis,heuristique
analyse-donnees-macro-economiques-sectorielles,Analyse des données macro-économiques sectorielles,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-du-cycle-de-vie-produit-plc,Analyse du cycle de vie produit (PLC),MARKETING & COMMERCIAL,analysis,heuristique
analyse-du-parcours-client,Analyse du parcours client (Customer Journey Map),MARKETING & COMMERCIAL,analysis,heuristique
analyse-ecosysteme-startup-africain,Analyse de l'écosystème startup africain,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-ecosysteme-valeur-etendu,Analyse de l'écosystème de valeur étendu,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-ecosysteme,Analyse de l'écosystème d'innovation local & global,INNOVATION & R&D,analysis,heuristique
analyse-et-optimisation-du-besoin-en-fonds-de-roulement,Analyse et optimisation du besoin en fonds de roulement,FINANCE & GESTION,analysis,heuristique
analyse-financiere-cooperatives-mutuelles,Analyse financière des coopératives & mutuelles,FINANCE & GESTION,analysis,heuristique
analyse-flux-commerciaux-trade-intelligence,Analyse des flux commerciaux & trade intelligence,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-investissements-capex,Analyse des investissements & décisions CAPEX,FINANCE & GESTION,analysis,heuristique
analyse-juridique-des-risques-due-diligence-legale,Analyse juridique des risques & due diligence légale,JURIDIQUE & CONFORMITÉ,analysis,heuristique
analyse-megatendances-signaux-faibles,Analyse des mégatendances & signaux faibles,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-multicritere-de-selection-de-projet,Analyse multicritères de sélection de projet,ÉTUDES DE PROJETS & FAISABILITÉ,analysis,heuristique
analyse-performance-flotte,Analyse de la performance de flotte,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
analyse-performance-fournisseurs-scorecard,Analyse de la performance fournisseurs (scorecard),SUPPLY CHAIN & ACHATS,analysis,heuristique
analyse-positionnement-concurrentiel,Analyse du positionnement concurrentiel,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-post-mortem-lecons-apprises,Analyse post-mortem & leçons apprises,GESTION DE PROJETS & PMO,analysis,heuristique
analyse-rentabilite-agricole-prix-revient,Analyse de rentabilité agricole & prix de revient,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
analyse-rentabilite-segment-produit-marche,Analyse de rentabilité par segment/produit/marché,FINANCE & GESTION,analysis,heuristique
analyse-resultats-scolaires-tableaux-bord,Analyse des résultats scolaires & tableaux de bord,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
analyse-satisfaction-visiteurs-experience,Analyse de la satisfaction des visiteurs & expérience,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
analyse-scenarios,Analyse des scénarios prospectifs & futurs possibles,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-strategique-pestel-augmente-ia,Analyse stratégique PESTEL augmentée IA,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-swot-tows-croisee,Analyse SWOT/TOWS croisée,STRATÉGIE & MANAGEMENT,analysis,heuristique
analyse-tendances-demographiques-sociales,Analyse des tendances démographiques & sociales,INTELLIGENCE ÉCONOMIQUE & VEILLE,analysis,heuristique
analyse-valeur-optimisation-couts-qualite,Analyse de la valeur & optimisation des coûts qualité,QUALITÉ & EXCELLENCE OPÉRATIONNELLE,analysis,heuristique
analyse-valeur-value-engineering-achats,Analyse de la valeur & value engineering achats,SUPPLY CHAIN & ACHATS,analysis,heuristique
analytics-des-risques-et-indicateurs-kri,Analytics des risques & indicateurs KRI,REPORTING & ANALYTICS DASHBOARD,table,heuristique
analytics-pedagogiques,Analytics pédagogiques (EdTech/LMS),REPORTING & ANALYTICS DASHBOARD,table,heuristique
analytics-predictif-des-ventes,Analytics prédictif des ventes,REPORTING & ANALYTICS DASHBOARD,table,heuristique
api-strategie-microservices-interop,"Stratégie d'API, microservices & interopérabilité",TRANSFORMATION DIGITALE & IA,analysis,heuristique
assessment-center-mise-en-situation-professionnelle,Assessment center & mise en situation professionnelle,PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,profile,heuristique
assurance-sinistralite-analytics,Analytics de la sinistralité (assurance),REPORTING & ANALYTICS DASHBOARD,table,heuristique
atelier-design-thinking-structure,Atelier de design thinking structuré (5 étapes),INNOVATION & R&D,analysis,heuristique
audit-achats-responsables-supply-chain,Audit des achats responsables & supply chain,AUDITS & CONFORMITÉ,assessment,heuristique
audit-anti-corruption,Audit anti-corruption (ISO 37001 & loi Sapin II),AUDITS & CONFORMITÉ,assessment,heuristique
audit-biodiversite-capital-naturel,Audit de la biodiversité & capital naturel,AUDITS & CONFORMITÉ,assessment,heuristique
audit-carbone-bilan-ges-scope-1-2-3,"Audit carbone & bilan GES (Scope 1, 2, 3 — GHG Protocol)",AUDITS & CONFORMITÉ,assessment,heuristique
audit-communication-interne-externe,Audit de la communication interne & externe,AUDITS & CONFORMITÉ,assessment,heuristique
audit-conformite-aml-kyc,Audit de conformité AML/KYC (anti-blanchiment),AUDITS & CONFORMITÉ,assessment,heuristique
audit-conformite-produits-services,Audit de conformité produits & services,AUDITS & CONFORMITÉ,assessment,heuristique
audit-contrats-et-obligations-juridiques,Audit des contrats & obligations juridiques,AUDITS & CONFORMITÉ,assessment,heuristique
audit-contrats-travail-reglement-interieur,Audit des contrats de travail & règlement intérieur,AUDITS & CONFORMITÉ,assessment,heuristique
audit-cybersecurite-pentest,Audit cybersécurité & tests d'intrusion (pentest),AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-conformite-reglementaire-sectorielle,Audit de conformité réglementaire sectorielle,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-conformite-sectorielle,"Audit de conformité sectorielle (bancaire, santé, télécom, énergie)",AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-continuite-d-activite,Audit de continuité d'activité (PCA/PRA),AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-durabilite,Audit de durabilité (CSRD/DPEF/reporting extra-financier),AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-gouvernance-des-donnees,Audit de gouvernance des données,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-la-chaine-logistique,Audit de la chaîne logistique,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-la-formation-professionnelle,Audit de la formation professionnelle,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-la-paie-et-charges-sociales,Audit de la paie & charges sociales,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-la-proprieté-intellectuelle,Audit de la propriété intellectuelle,AUDITS & CONFORMITÉ,assessment,heuristique
audit-de-tresorerie-cash-management,Audit de trésorerie & cash management,AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-droits-humains,Audit des droits humains (devoir de vigilance),AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-marches-publics-et-commande-publique,Audit des marchés publics & commande publique,AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-parties-prenantes-et-engagement-stakeholders,Audit des parties prenantes & engagement stakeholders,RSE & DÉVELOPPEMENT DURABLE,assessment,heuristique
audit-des-prix-de-transfert-intra-groupe,Audit des prix de transfert intra-groupe,AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-procedes-de-fabrication,Audit des procédés de fabrication,AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-processus-de-recrutement,Audit des processus de recrutement,AUDITS & CONFORMITÉ,assessment,heuristique
audit-des-systemes-documentaires,Audit des systèmes documentaires,AUDITS & CONFORMITÉ,assessment,heuristique
audit-du-ttmp-de-travail-et-duree-legale,Audit du temps de travail & durée légale,AUDITS & CONFORMITÉ,assessment,heuristique
audit-economie-circulaire,Audit de l'économie circulaire,AUDITS & CONFORMITÉ,assessment,heuristique
audit-egalite-femmes-hommes,Audit de l'égalité femmes-hommes (index Egapro),AUDITS & CONFORMITÉ,assessment,heuristique
audit-energetique-batiment-process-industriel,Audit énergétique bâtiment & process industriel,OUTILS SECTORIELS SPÉCIALISÉS,assessment,heuristique
audit-energetique-complet,Audit énergétique complet (bâtiment & process),AUDITS & CONFORMITÉ,assessment,heuristique
audit-equipements-maintenance-gmao,"Audit des équipements, maintenance & GMAO",AUDITS & CONFORMITÉ,assessment,heuristique
audit-erm-coso,Audit de la gestion des risques (ERM — COSO),AUDITS & CONFORMITÉ,assessment,heuristique
audit-esg,Audit ESG pour investisseurs & agences de notation,AUDITS & CONFORMITÉ,assessment,heuristique
audit-et-modernisation-des-systèmes-legacy,Audit & modernisation des systèmes legacy,TRANSFORMATION DIGITALE & IA,assessment,heuristique
audit-etats-financiers,Audit des états financiers (IFRS/OHADA/SYSCOHADA),AUDITS & CONFORMITÉ,assessment,heuristique
audit-fiscal-optimisation-legale,Audit fiscal & optimisation légale,AUDITS & CONFORMITÉ,assessment,heuristique
audit-fraude-forensic-investigation,"Audit de fraude, forensic & investigation",AUDITS & CONFORMITÉ,assessment,heuristique
audit-gestion-budg-et-prev,Audit de la gestion budgétaire & prévisionnelle,AUDITS & CONFORMITÉ,assessment,heuristique
audit-gestion-patrimoniale-unique,Audit de la gestion patrimoniale,AUDITS & CONFORMITÉ,assessment,heuristique
audit-gouvernance-et-conseil-d-administration,Audit de gouvernance & conseil d'administration,AUDITS & CONFORMITÉ,assessment,heuristique
audit-gouvernance-ia-entreprise,Audit de la gouvernance des IA en entreprise (AI Act),AUDITS & CONFORMITÉ,assessment,heuristique
audit-gpec-gepp,Audit de la GPEC/GEPP,AUDITS & CONFORMITÉ,assessment,heuristique
audit-impact-social,Audit d'impact social (SROI & évaluation du bien commun),AUDITS & CONFORMITÉ,assessment,heuristique
audit-infrastructure-it-systèmes,Audit de l'infrastructure IT & systèmes,AUDITS & CONFORMITÉ,assessment,heuristique
audit-interne-financier-unique,Audit interne financier,AUDITS & CONFORMITÉ,assessment,heuristique
audit-investissements-et-capex,Audit des investissements & CAPEX,AUDITS & CONFORMITÉ,assessment,heuristique
audit-legal-et-commissariat-aux-comptes,Audit légal & commissariat aux comptes,AUDITS & CONFORMITÉ,assessment,heuristique
audit-management-integre-ims,Audit de management intégré (IMS),AUDITS & CONFORMITÉ,assessment,heuristique
audit-maturite-iso-unique,Audit de maturité ISO (pré-certification),AUDITS & CONFORMITÉ,assessment,heuristique
audit-odd-et-contribution-aux-sdg,Audit ODD & contribution aux SDG,AUDITS & CONFORMITÉ,assessment,heuristique
audit-ohada-droit-des-affaires-africain,Audit de conformité OHADA & droit des affaires africain,AUDITS & CONFORMITÉ,assessment,heuristique
audit-politique-communication-rse,Audit de la politique communication RSE,AUDITS & CONFORMITÉ,assessment,heuristique
audit-politiques-diversite-inclusion,Audit des politiques diversité & inclusion,AUDITS & CONFORMITÉ,assessment,heuristique
audit-pratiques-medicales-et-protocoles,Audit des pratiques médicales & des protocoles,OUTILS SECTORIELS SPÉCIALISÉS,assessment,heuristique
audit-processus-procedures,Audit de processus & procédures,AUDITS & CONFORMITÉ,assessment,heuristique
audit-protection-donnees-rgpd-pdcp,Audit de la protection des données (RGPD/PDCP),AUDITS & CONFORMITÉ,assessment,heuristique
audit-qualite-interne-iso-9001,Audit qualité interne (ISO 9001),AUDITS & CONFORMITÉ,assessment,heuristique
audit-quality-fournisseurs-sous-traitants,Audit qualité fournisseurs & sous-traitants,AUDITS & CONFORMITÉ,assessment,heuristique
audit-reporting-extra-financier,Audit du reporting extra-financier,AUDITS & CONFORMITÉ,assessment,heuristique
audit-rh-complet-social,Audit RH complet & social,AUDITS & CONFORMITÉ,assessment,heuristique
audit-risques-industriels-seveso,Audit des risques industriels & SEVESO,AUDITS & CONFORMITÉ,assessment,heuristique
audit-rse-complet-gri-standards,Audit RSE complet (GRI Standards),AUDITS & CONFORMITÉ,assessment,heuristique
audit-rse-feuille-de-route-dd,Audit de la politique RSE & feuille de route DD,AUDITS & CONFORMITÉ,assessment,heuristique
audit-satisfaction-client-et-experience,Audit satisfaction client & expérience,AUDITS & CONFORMITÉ,assessment,heuristique
audit-securite-physique-protection-des-biens,Audit de sécurité physique & protection des biens,AUDITS & CONFORMITÉ,assessment,heuristique
audit-seo-et-strategie-de-reference-ment-naturel,Audit SEO & stratégie de référencement naturel,MARKETING & COMMERCIAL,assessment,heuristique
audit-sig-et-sig-conformite,Audit des SIG & systèmes d'information de gestion,AUDITS & CONFORMITÉ,assessment,heuristique
audit-sst,Audit de la santé & sécurité au travail (SST),AUDITS & CONFORMITÉ,assessment,heuristique
audit-subventions-financements-publics,Audit des subventions & financements publics,AUDITS & CONFORMITÉ,assessment,heuristique
audit-transformation-digitale,Audit de la transformation digitale,AUDITS & CONFORMITÉ,assessment,heuristique
audit-traçabilité-chaîne-de-contrôle,Audit de traçabilité & chaîne de contrôle,AUDITS & CONFORMITÉ,assessment,heuristique
auto-diagnostic-ces-esf-banque-mondiale,Auto-diagnostic CES/ESF Banque Mondiale,Conformité Bailleurs & Projets Financés,assessment,heuristique
auto-diagnostic-csrd-readiness,Auto-diagnostic CSRD readiness,Labels ESG / RSE / Durabilité,assessment,heuristique
auto-diagnostic-iso-14001,Auto-diagnostic ISO 14001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-22000-haccp,Auto-diagnostic ISO 22000 / HACCP,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-27001,Auto-diagnostic ISO 27001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-37001-smac,Auto-diagnostic ISO 37001 — SMAC,"Gouvernance, Éthique & Anti-Corruption",assessment,heuristique
auto-diagnostic-iso-37001,Auto-diagnostic ISO 37001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-45001,Auto-diagnostic ISO 45001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-50001,Auto-diagnostic ISO 50001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-iso-9001,Auto-diagnostic ISO 9001,Systèmes de Management ISO,assessment,heuristique
auto-diagnostic-smi-integre,Auto-diagnostic SMI intégré,Systèmes de Management ISO,assessment,heuristique
auto-evaluation-bcorp,Auto-évaluation B Corp,Labels ESG / RSE / Durabilité,assessment,heuristique
auto-evaluation-conformite-halal,Auto-évaluation conformité Halal,Certification de Produits & Services,assessment,heuristique
auto-evaluation-dpo,Auto-évaluation DPO (Délégué Protection Données),Certification de Compétences & Personnes,assessment,heuristique
auto-evaluation-economie-circulaire-xp-x30-901,Auto-évaluation Économie Circulaire (XP X30-901),Économie Circulaire & Déchets,assessment,heuristique
auto-positionnement-six-sigma-lean,Auto-positionnement Six Sigma / Lean,Certification de Compétences & Personnes,assessment,heuristique
balanced-scorecard-bsc-strategie-en-cascade,Balanced Scorecard (BSC) & stratégie en cascade,STRATÉGIE & MANAGEMENT,analysis,heuristique
barometre-social-et-enquete-de-climat,Baromètre social & enquête de climat,RH & CAPITAL HUMAIN,analysis,heuristique
benchmark-des-innovations-sectorielles,Benchmark des innovations sectorielles,INNOVATION & R&D,analysis,heuristique
benchmark-financier-sectoriel-comparatif,Benchmark financier sectoriel comparatif,FINANCE & GESTION,analysis,heuristique
benchmark-international-de-l-innovation,Benchmark international de l'innovation,INNOVATION & R&D,analysis,heuristique
benchmark-marketing-pratiques,Benchmark des meilleures pratiques marketing,MARKETING & COMMERCIAL,analysis,heuristique
benchmark-prix-analyse-marche-achats,Benchmark des prix & analyse de marché achats,SUPPLY CHAIN & ACHATS,analysis,heuristique
bilan-carbone-complet-scope-1-2-3-ghg-protocol,"Bilan carbone complet (Scope 1, 2, 3 — GHG Protocol)",RSE & DÉVELOPPEMENT DURABLE,analysis,heuristique
bilan-compétences-numérique,Bilan de compétences numérique interactif,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
bilan-compétences-professionnel-digital,Bilan de compétences professionnel digital,RH & CAPITAL HUMAIN,profile,heuristique
bilan-personnalite-360-complet,Bilan de personnalité 360° complet,PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,profile,heuristique
bilan-social-automatise-preparation-nao,Bilan social automatisé & préparation NAO,RH & CAPITAL HUMAIN,analysis,heuristique
budget-annuel-et-pluriannuel-participatif,Budget annuel & pluriannuel participatif,FINANCE & GESTION,analysis,heuristique
business-model-canvas-value-proposition-canvas,Business Model Canvas & Value Proposition Canvas,INNOVATION & R&D,analysis,heuristique
business-plan-complet-ia-assiste,Business plan complet IA-assisté,FINANCE & GESTION,document,heuristique
cadre-de-performance-des-services-publics,Cadre de performance des services publics,OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
cadre-logique-de-projet-pcm-lfa,Cadre logique de projet (PCM/LFA),OUTILS SECTORIELS SPÉCIALISÉS,analysis,heuristique
calculateur-bilan-carbone-simplifié,Calculateur bilan carbone simplifié,Labels ESG / RSE / Durabilité,assessment,heuristique
canvas-proposition-de-valeur,Canvas de la proposition de valeur,INNOVATION & R&D,analysis,heuristique
cartographie-audit-de-la-supply-chain,Cartographie & audit de la supply chain,SUPPLY CHAIN & ACHATS,table,heuristique
cartographie-competences-developper,Cartographie des compétences à développer,PROFILS APPRENANTS & PÉDAGOGIE,table,heuristique
cartographie-des-forces-cliftonstrengths,Cartographie des forces (CliftonStrengths),PERSONNALITÉ & COMPORTEMENT PROFESSIONNEL,table,heuristique
cartographie-des-parties-prenantes-et-gouvernance,Cartographie des parties prenantes & gouvernance,STRATÉGIE & MANAGEMENT,table,heuristique
cartographie-des-risques-operationnels-orm,Cartographie des risques opérationnels (ORM),GESTION DES RISQUES,table,heuristique
cartographie-dynamique-des-compétences,Cartographie dynamique des compétences,RH & CAPITAL HUMAIN,table,heuristique
cartographie-strategique-cause-effet,Cartographie stratégique cause-effet,STRATÉGIE & MANAGEMENT,table,heuristique
charte-de-projet-complete,Charte de projet complète (Project Charter),GESTION DE PROJETS & PMO,document,heuristique
checklist-conformite-agroalimentaire,Checklist conformité agroalimentaire (BRC/IFS/SQF),Certification de Produits & Services,table,heuristique
checklist-conformite-bad,Checklist conformité BAD,Conformité Bailleurs & Projets Financés,table,heuristique
checklist-conformite-legale-par-pays,Checklist de conformité légale par pays,JURIDIQUE & CONFORMITÉ,table,heuristique
checklist-iso-17020-organisme-inspection,Checklist ISO 17020 — organisme d'inspection,Inspection Technique & Vérification,table,heuristique
checklist-zero-waste,Checklist zéro déchet (Zero Waste),Économie Circulaire & Déchets,table,heuristique
client-segmentation-analytics,Analytics client & segmentation comportementale,REPORTING & ANALYTICS DASHBOARD,table,heuristique
collaborateur-engagement-analytics,Analytics de l'engagement collaborateurs,REPORTING & ANALYTICS DASHBOARD,table,heuristique
comptabilite-analytique-centres-de-couts,Comptabilité analytique & centres de coûts,FINANCE & GESTION,analysis,heuristique
consolidation-des-comptes-groupe-multi-entites,Consolidation des comptes (groupe multi-entités),FINANCE & GESTION,analysis,heuristique
contrôle-budgétaire-et-analyse-des-écarts,Contrôle budgétaire & analyse des écarts,FINANCE & GESTION,analysis,heuristique
cx-analytics,Analytics de l'expérience client (CX analytics),REPORTING & ANALYTICS DASHBOARD,table,heuristique
cybersecurite-et-securite-by-design,Plan de cybersécurité & sécurité by design,TRANSFORMATION DIGITALE & IA,document,heuristique
cybersecurite-stra-tegique,Stratégie de cybersécurité pour infrastructures critiques,TRANSFORMATION DIGITALE & IA,analysis,heuristique
dash-rse-pilotage,Dashboard RSE & pilotage des engagements,RSE & DÉVELOPPEMENT DURABLE,table,heuristique
dashboard-comite-de-direction,Dashboard exécutif Comité de direction,REPORTING & ANALYTICS DASHBOARD,table,heuristique
dashboard-de-performance-globale,Dashboard de performance globale (KPIs exécutifs),REPORTING & ANALYTICS DASHBOARD,table,heuristique
dashboard-de-pilotage-des-coûts-unique,Dashboard de pilotage des coûts,REPORTING & ANALYTICS DASHBOARD,table,heuristique
dashboard-odd-contribution-sdg-nations-unies,Dashboard ODD & contribution SDG Nations Unies,REPORTING & ANALYTICS DASHBOARD,table,heuristique
dashboard-odd-secteur,Dashboard de pilotage des ODD par secteur,REPORTING & ANALYTICS DASHBOARD,table,heuristique
dashboard-transformation-digitale,Dashboard de transformation digitale,REPORTING & ANALYTICS DASHBOARD,table,heuristique
data-storytelling-tool,Visualisation de données avancée & data storytelling,REPORTING & ANALYTICS DASHBOARD,table,heuristique
deeptech-plan-development-tool,Plan de développement d'une deeptech,INNOVATION & R&D,document,heuristique
design-parcours-apprentissage-individualise,Design du parcours d'apprentissage individualisé,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
design-pedagogique-ia-assiste,Design pédagogique (instructional design) IA-assisté,PROFILS APPRENANTS & PÉDAGOGIE,profile,heuristique
design-thinking-hcd,Design thinking & innovation centrée usage (HCD),STRATÉGIE & MANAGEMENT,analysis,heuristique
diagnostic-acces-financement-pme-startup,Diagnostic de l'accès au financement (PME/startup),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-achats-procurement,Diagnostic de la politique achats & procurement,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-anti-corruption,Diagnostic anti-corruption (ISO 37001),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-bfr,Diagnostic de la gestion du BFR,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-bien-etre-au-travail,Diagnostic du bien-être au travail (QVT/QVCT),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-business-model,Diagnostic du business model (BMC),DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-capacite-autoformation,Diagnostic de la capacité à l'autoformation,PROFILS APPRENANTS & PÉDAGOGIE,assessment,heuristique
diagnostic-certification-bio-ecocert-ab,Diagnostic certification Bio (Ecocert/AB),Certification de Produits & Services,assessment,heuristique
diagnostic-climat-social-et-cohesion-interne,Diagnostic du climat social & cohésion interne,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-communication-interne,Diagnostic de la communication interne,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
diagnostic-competences-management-de-projet,Diagnostic compétences management de projet (PMP/Prince2),Certification de Compétences & Personnes,assessment,heuristique
diagnostic-concurrentiel-benchmark-sectoriel,Diagnostic concurrentiel & benchmark sectoriel,DIAGNOSTICS & ÉVALUATIONS,assessment,heuristique
